event_slug,timestamp_ms,timestamp_iso,timestamp_est,event_type,price,size,size_change,side,best_bid,best_ask,is_winning_token,outcome,time_since_ticker_change_ms,ticker_changed_recently,old_tick_size,new_tick_size,market_resolved,error_message,raw_slug,condition_id,token_id
btc-5min-up-or-down-2026-02-24-17:45,1771973366177,2026-02-24 22:49:26,2026-02-24 17:49:26,ask,0.99,7724.76,5.0,ASK,0.97,0.98,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973367445,2026-02-24 22:49:27,2026-02-24 17:49:27,ask,0.99,7709.76,5.0,ASK,0.97,0.98,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973368415,2026-02-24 22:49:28,2026-02-24 17:49:28,ask,0.99,7699.76,5.0,ASK,0.97,0.98,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973368471,2026-02-24 22:49:28,2026-02-24 17:49:28,ask,0.99,7704.76,5.0,ASK,0.97,0.98,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973368869,2026-02-24 22:49:28,2026-02-24 17:49:28,ask,0.99,7704.76,5.0,ASK,0.97,0.98,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973369297,2026-02-24 22:49:29,2026-02-24 17:49:29,ask,0.99,7704.76,5.0,ASK,0.97,0.98,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973370132,2026-02-24 22:49:30,2026-02-24 17:49:30,ask,0.99,7376.19,10.0,ASK,0.97,0.99,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973370452,2026-02-24 22:49:30,2026-02-24 17:49:30,ask,0.99,7433.95,100.0,ASK,0.97,0.99,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973370517,2026-02-24 22:49:30,2026-02-24 17:49:30,ask,0.99,7532.87,98.92000000000007,ASK,0.97,0.99,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
eth-5min-up-or-down-2026-02-24-17:45,1771973370535,2026-02-24 22:49:30,2026-02-24 17:49:30,ask,0.99,1219.78,5.0,ASK,0.97,0.98,false,Up,-1,false,,,false,,eth-updown-5m-1771973100,0xb6458e56bb176f8780e37acef971e0b0684af77a6ed3331a93efd895e3da24fc,66097759672793141180105802017913776486538303125733048549617539466105128912753
btc-5min-up-or-down-2026-02-24-17:45,1771973370731,2026-02-24 22:49:30,2026-02-24 17:49:30,ask,0.99,7532.87,5.0,ASK,0.97,0.99,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
sol-5min-up-or-down-2026-02-24-17:45,1771973370755,2026-02-24 22:49:30,2026-02-24 17:49:30,ask,0.99,1044.95,10.0,ASK,0.97,0.98,false,Up,-1,false,,,false,,sol-updown-5m-1771973100,0x25aec278c5a7cd3f4a722c5239c80094e47557e06cf479adc4e017def88a6d33,5343859502656981473673499117757212906593087227461311981565923368539248429919
btc-5min-up-or-down-2026-02-24-17:45,1771973370856,2026-02-24 22:49:30,2026-02-24 17:49:30,ask,0.99,9993.28,2480.5200000000004,ASK,0.98,0.99,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
sol-5min-up-or-down-2026-02-24-17:45,1771973370979,2026-02-24 22:49:30,2026-02-24 17:49:30,ask,0.99,3558.0,2513.05,ASK,0.94,0.98,false,Up,-1,false,,,false,,sol-updown-5m-1771973100,0x25aec278c5a7cd3f4a722c5239c80094e47557e06cf479adc4e017def88a6d33,5343859502656981473673499117757212906593087227461311981565923368539248429919
btc-5min-up-or-down-2026-02-24-17:45,1771973371093,2026-02-24 22:49:31,2026-02-24 17:49:31,ask,0.99,9880.09,5.0,ASK,0.97,0.99,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973371188,2026-02-24 22:49:31,2026-02-24 17:49:31,ask,0.99,9885.09,10.0,ASK,0.97,0.98,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973371607,2026-02-24 22:49:31,2026-02-24 17:49:31,ask,0.99,4821.84,100.0,ASK,0.97,0.99,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973371621,2026-02-24 22:49:31,2026-02-24 17:49:31,ask,0.99,4921.84,100.0,ASK,0.97,0.99,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973371641,2026-02-24 22:49:31,2026-02-24 17:49:31,ask,0.99,5026.84,105.0,ASK,0.97,0.99,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973371663,2026-02-24 22:49:31,2026-02-24 17:49:31,ask,0.99,5044.84,18.0,ASK,0.98,0.99,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
sol-5min-up-or-down-2026-02-24-17:45,1771973371768,2026-02-24 22:49:31,2026-02-24 17:49:31,ask,0.99,3577.94,19.940000000000055,ASK,0.9,0.98,false,Up,-1,false,,,false,,sol-updown-5m-1771973100,0x25aec278c5a7cd3f4a722c5239c80094e47557e06cf479adc4e017def88a6d33,5343859502656981473673499117757212906593087227461311981565923368539248429919
eth-5min-up-or-down-2026-02-24-17:45,1771973372067,2026-02-24 22:49:32,2026-02-24 17:49:32,ask,0.99,1224.78,5.0,ASK,0.89,0.95,false,Up,-1,false,,,false,,eth-updown-5m-1771973100,0xb6458e56bb176f8780e37acef971e0b0684af77a6ed3331a93efd895e3da24fc,66097759672793141180105802017913776486538303125733048549617539466105128912753
eth-5min-up-or-down-2026-02-24-17:45,1771973372101,2026-02-24 22:49:32,2026-02-24 17:49:32,ask,0.99,1228.52,3.740000000000009,ASK,0.83,0.94,false,Up,-1,false,,,false,,eth-updown-5m-1771973100,0xb6458e56bb176f8780e37acef971e0b0684af77a6ed3331a93efd895e3da24fc,66097759672793141180105802017913776486538303125733048549617539466105128912753
btc-5min-up-or-down-2026-02-24-17:45,1771973372465,2026-02-24 22:49:32,2026-02-24 17:49:32,ask,0.99,4956.21,134.3699999999999,ASK,0.9,0.95,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973372485,2026-02-24 22:49:32,2026-02-24 17:49:32,ask,0.99,4966.21,10.0,ASK,0.9,0.95,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973372999,2026-02-24 22:49:32,2026-02-24 17:49:32,ask,0.99,227.91,5.0,ASK,0.92,0.95,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
btc-5min-up-or-down-2026-02-24-17:45,1771973373022,2026-02-24 22:49:33,2026-02-24 17:49:33,ask,0.99,232.91,5.0,ASK,0.92,0.95,false,Up,-1,false,,,false,,btc-updown-5m-1771973100,0x0067ce59d925711eeb0d2b129c4cbcb3fddca9d42596d59b5b09ea0067572311,20551504373845037751238991102954092126692488818670892528011839547248260821663
