id,timestamp,timestamp_iso,timestamp_est,wallet,side,price,size,usdc_value,asset,condition_id,outcome,event_slug,transaction_hash,fee_rate,expiry_ts,is_post_expiry
,1772558105,2026-03-03 17:15:05,2026-03-03 12:15:05,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,90888221838608295941572156515008908917189444216081681965448348451953946395629,0xadfa4e3e5631f4ee7cafc00d20001668bf76e74e64f85a76255ae84d78ed423a,Down,xrp-15min-up-or-down-2026-03-03-12:00,0x15bdc98e80a45ec856e7b722b7b38d1d4285cb048fb93b9553a2d2d2b5accce5,,1772558100,True
,1772558049,2026-03-03 17:14:09,2026-03-03 12:14:09,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,113276391816348410131025498685262894815590344488992961821316963654704085391024,0xb262ea5cf80ccfce3eac8925ed4d452a3187ab7480c5883a2737400f1116dbb5,Down,sol-15min-up-or-down-2026-03-03-12:00,0xe7e908635e906b5b64aa83796099ea6a47aba71a0e70e88f7d4a2dd40d3071e4,,1772558100,False
,1772558045,2026-03-03 17:14:05,2026-03-03 12:14:05,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,108106204912290490125161024189440917142811537845130683509494682721594216216704,0x501431fa4d2253152e9afc5777c54d8fca4eae3aa454109cba5f6eb461ff5447,Down,eth-15min-up-or-down-2026-03-03-12:00,0xd51e640daa9fe4fbf5b2f127851560618cdcd890f5bb35e103a0d10cde0fd45e,,1772558100,False
,1772558023,2026-03-03 17:13:43,2026-03-03 12:13:43,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.998,5.0,4.99,93539506568713588336597981474273306712875795486049672267150338061697168807246,0x4527ade0e54e1df3894f3289a17ac912baea1d17b8ef586946d5e3b55b2ce039,Down,btc-15min-up-or-down-2026-03-03-12:00,0x1501527eb86c4e79d4b3f4cb763148281936c791db4cf3968b8b05e4d2418cf5,,1772558100,False
,1772555401,2026-03-03 16:30:01,2026-03-03 11:30:01,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,34596007733520333097433119254106593938866635810039250424336321779205622268609,0xa7906951973d1ade5558db12d7f281cbdaee51059d713c8a97c0eae46ee46a1c,Up,btc-15min-up-or-down-2026-03-03-11:15,0x9cbcc24624ff9684fc4fd32dc17a218fe24d393fc9e57f46edb8d7f14ab752a5,,1772555400,True
,1772555339,2026-03-03 16:28:59,2026-03-03 11:28:59,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,83749643730074282043743190157505783467264009057861888687511975093296760795148,0xbf6552dba9fea781db231a29f6bf5b1a01d0ff3a63681015f46e5f594df3a854,Up,xrp-15min-up-or-down-2026-03-03-11:15,0xdfc43c8e263daeb33a82b7c00e5389bd3ab9a7ed648f4e47cdbda61dd64ed27a,,1772555400,False
,1772555339,2026-03-03 16:28:59,2026-03-03 11:28:59,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,87776650987924353895225551490788722633501316754407026763628386086704022722454,0x043f3a282d4e6211d1889228a57898fa8a020be21a02caf194845c7e6a6c64fd,Up,sol-15min-up-or-down-2026-03-03-11:15,0x34c7ded7a8eddc8d50172db74be3f08ed90ecadb96efd3548180bfb6d164cd1d,,1772555400,False
,1772549045,2026-03-03 14:44:05,2026-03-03 09:44:05,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,1.72,1.71828,21854680807643768441684380189033861409648764224483044580340444424864494252658,0x7241bb2a9701502f543f41fb75eb88f915694c2fb3e4e4fd3aa5a730b77a0091,Down,eth-15min-up-or-down-2026-03-03-09:30,0x4ee51d0db33509233ae546f65ead2a792b8d66973e888311d4c1c5cb16cb40a6,,1772549100,False
,1772549045,2026-03-03 14:44:05,2026-03-03 09:44:05,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,3.28,3.27672,21854680807643768441684380189033861409648764224483044580340444424864494252658,0x7241bb2a9701502f543f41fb75eb88f915694c2fb3e4e4fd3aa5a730b77a0091,Down,eth-15min-up-or-down-2026-03-03-09:30,0x194411013088dbf431a7123173fb62e98b73de5b853dd8553c9120d20df2aa1f,,1772549100,False
,1772549043,2026-03-03 14:44:03,2026-03-03 09:44:03,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.994,5.0,4.97,83590137409912029660383593482277024217392282364306267412240984381702085577649,0x7e1ee9fc97e3a7dcf3cf3461e7ef7f79c45fb8ab7bd6319fb091eb9f61e561fb,Down,btc-15min-up-or-down-2026-03-03-09:30,0x2c6dacdbbd9e1c2106f36f1de6b9897af68b7a54e66942e9ef64a5ce8bcfef53,,1772549100,False
